reactant_1,reactant_2,product,Yield
CCOC(=O)C1C(=O)NCC1c1ccc2c(c1)OCO2,COc1ccc(CCl)cc1OC,CCOC(=O)C1(Cc2ccc(OC)c(OC)c2)C(=O)NCC1c1ccc2c(c1)OCO2,75.4
CCOC(=O)C=C1NCCN1,CCOC(=O)CC(=O)C=Cc1cccs1,CCOC(=O)C1=C(C)N2CCNC2=C(C(=O)OCC)C1Cc1cccs1,72.0
NN,Nc1nc2c(Cl)cccc2s1,NNc1nc2c(Cl)cccc2s1,78.0
CCC1CCCC(C)C1=O,COCC(C)N,CCC1CCCC(C)C1=NC(C)COC,50.2
CC(C)=O,FC(F)(F)SCl,CC(=O)CSC(F)(F)F,69.0
CC(=CCO)CCC=C(C)CCC(=O)C(C)C,CC(=O)OC(C)=O,CC(=O)OCC=C(C)CCC=C(C)CCC(=O)C(C)C,94.7
CC=O,Clc1cc(Br)ccc1-c1ccccc1,CC(O)c1ccc(-c2ccccc2)c(Cl)c1,61.6
CC(C)(C)OC(=O)C=O,O=C1NC(SCC#Cc2ccc(F)cc2)C1NC(c1ccccc1)(c1ccccc1)c1ccccc1,CC(C)(C)OC(=O)C(O)N1C(=O)C(NC(c2ccccc2)(c2ccccc2)c2ccccc2)C1SCC#Cc1ccc(F)cc1,75.1
CCOC(=O)CSc1nc(Cl)cc(Cl)n1,Cc1cc(C)c(N)c(C)c1,CCOC(=O)CSc1nc(Cl)cc(Nc2c(C)cc(C)cc2C)n1,44.1
CCOC(=O)CSc1nc(Cl)cc(Cl)n1,Nc1ccc(-c2ccccc2)cc1,CCOC(=O)CSc1nc(Cl)cc(Nc2ccc(-c3ccccc3)cc2)n1,39.1
CCOC(=O)CSc1nc(Cl)cc(Cl)n1,Clc1ccc(N2CCNCC2)cc1,CCOC(=O)CSc1nc(Cl)cc(N2CCN(c3ccc(Cl)cc3)CC2)n1,62.5
CCNCC,O=S(=O)(Cl)c1c(Cl)c(Cl)c(Cl)c2nc(C(F)(F)F)[nH]c12,CCN(CC)S(=O)(=O)c1c(Cl)c(Cl)c(Cl)c2nc(C(F)(F)F)[nH]c12,97.0
CN1C2CCC1CNC2,O=C(O)C1CCCCC1,CN1C2CCC1CN(C(=O)C1CCCCC1)C2,66.8
CCOC(=O)CC(=N)N,O=Cc1ccccc1[N+](=O)[O-],CCOC(=O)C1=C(N)NC(N)=C(C(=O)OCC)C1c1ccccc1[N+](=O)[O-],56.0
CCOCC(=O)Cl,CNC(=S)NN,CCOCC1N=NC(=S)N1C,65.8
CCc1cc(C(=O)c2ccccc2Cl)c(-n2c(C)nnc2CO)s1,O=S(Cl)Cl,CCc1cc(C(=O)c2ccccc2Cl)c(-n2c(C)nnc2CCl)s1,88.5
CCOC(=S)N(CC(C)C)CC(C)C,CCOS(=O)(=O)OCC,CCSC(=O)N(CC(C)C)CC(C)C,92.0
O=C(Cc1cccs1)NC1C(=O)N2C(C(=O)OC(c3ccccc3)c3ccccc3)C(C(=O)O)=CS[C@H]12,Sc1ccccc1,O=C(Cc1cccs1)NC1C(=O)N2C(C(=O)OC(c3ccccc3)c3ccccc3)C(C(=O)Sc3ccccc3)=CS[C@H]12,66.5
C1CC2CNCC1O2,O=C(Cl)c1cccnc1,O=C(c1cccnc1)N1CC2CCC(C1)O2,46.0
CCN=C=S,NC1CCCc2ccccc21,CCNC(=S)NC1CCCc2ccccc21,50.3
CS(N)(=O)=O,O=C(Cl)CCCCBr,CS(=O)(=O)NC(=O)CCCCBr,74.8
CNC(=S)Nc1ccccc1,NO,CNC(=NO)Nc1ccccc1,19.7
CC(C)(C)OO,Cc1ccc(OC(=O)CCC(=O)Cl)cc1,Cc1ccc(OC(=O)CCC(=O)OOC(C)(C)C)cc1,92.8
CCC1(CC)C(=O)N(CC(O)Cc2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)C(=O)N(CC(O)Cc2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)C1=O,CCCCCCCCCCCCCCCCCC(=O)Cl,CCCCCCCCCCCCCCCCCC(=O)OC(Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1)CN1C(=O)N(CC(Cc2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)OC(=O)CCCCCCCCCCCCCCCCC)C(=O)C(CC)(CC)C1=O,53.0
COC(=O)Cl,O=C(O)[C@@H]1CSC(c2ccccc2)N1,COC(=O)N1C(c2ccccc2)SC[C@H]1C(=O)O,97.0
CC[C@]12CC[C@@H]3C4=C(CC(OC)=CC4)C(C)C[C@H]3[C@@H]1CCC2=O,NCCN,C#C[C@]1(O)CC[C@H]2[C@@H]3CC(C)C4=C(CC=C(OC)C4)[C@H]3CC[C@@]21CC,89.8
O=C1C=CC(=O)c2c1cccc2[N+](=O)[O-],O=C1C=CC(=O)c2cc([N+](=O)[O-])ccc21,O=C1C2=C(CCCC2)C(=O)c2c1cccc2[N+](=O)[O-],87.0
O=C1C=CC(=O)c2c1cccc2[N+](=O)[O-],O=C1C=CC(=O)c2cc([N+](=O)[O-])ccc21,O=C1C2=C(CCCC2)C(=O)c2c1cccc2[N+](=O)[O-],88.0
COC(=O)C1=C(O)c2ccccc2S(=O)(=O)N1,COS(=O)(=O)OC,COC(=O)C1=C(O)c2ccccc2S(=O)(=O)N1C,95.2
CC(C#N)c1ccc(N)cc1,O=N[O-],CC(C#N)c1ccc(O)cc1,81.0
C1CNCCN1,CCCn1cc(C(=O)O)c(=O)c2cnc(SC)nc21,CCCn1cc(C(=O)O)c(=O)c2cnc(N3CCNCC3)nc21,88.0
C=C(C)C1CCC(C)(O)C1=C,C=C(C)CC(OC)OC,C=C(C)C1CCC(C)=C1CC(C=O)=C(C)C,59.6
NS(=O)(=O)c1ccc(NC(=O)CCl)c(Br)c1,Nc1ccccc1,NS(=O)(=O)c1ccc(NC(=O)CNc2ccccc2)c(Br)c1,80.6
O=C1c2cccc([N+](=O)[O-])c2C(=O)c2c1cccc2[N+](=O)[O-],O=[N+]([O-])O,O=C1c2cccc([N+](=O)[O-])c2C(=O)c2cccc([N+](=O)[O-])c21,30.0
CCOC(=O)NN,CCc1cc2c(s1)NC(=S)CN=C2c1ccccc1Cl,CCOC(=O)NNC1=Nc2sc(CC)cc2C(c2ccccc2Cl)=NC1,73.0
COCCN,COc1cc(C=O)c([N+](=O)[O-])cc1OC,COCCN=Cc1cc(OC)c(OC)cc1[N+](=O)[O-],72.7
BrBr,CC(=O)c1c(C)[n+]([O-])c2ccccc2[n+]1[O-],CC(=O)c1c(CBr)[n+]([O-])c2ccccc2[n+]1[O-],71.0
Cc1ccc(CN=C=S)c(C)c1,NCCO,Cc1ccc(CNC(=S)NCCO)c(C)c1,58.0
Nc1ccc(O)cc1,O=[N+]([O-])c1ccc(C=Cc2nc(Cl)c3ccccc3n2)o1,O=[N+]([O-])c1ccc(C=Cc2nc(Nc3ccc(O)cc3)c3ccccc3n2)o1,64.1
O=C(Cl)c1ccccc1,O=c1[nH]cc(F)c(=O)[nH]1,O=C(c1ccccc1)n1cc(F)c(=O)[nH]c1=O,42.7
O=S(=O)(Cl)c1ccccc1,O=c1[nH]cc(F)c(=O)[nH]1,O=c1[nH]c(=O)n(S(=O)(=O)c2ccccc2)cc1F,54.6
CC1(C)S[C@@H]2[C@H](N)C(=O)N2[C@H]1C(=O)O,COC(=O)C=C(C)N[C@@H](C(=O)[O-])c1ccc(O)cc1,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O,75.5
Cc1cc(C)c(Cc2ccccc2)c(=O)o1,NO,Cc1cc(C)n(O)c(=O)c1Cc1ccccc1,30.4
CCO,CCOC(=O)c1cc(C)c2c(c1)C(C)C(=S)N2,CCOC(=O)c1cc(C)c2c(c1)CC(=O)N2,67.0
CC1(C)CC(O)CC(C)(C)N1,CCCCBr,CCCCN1C(C)(C)CC(O)CC1(C)C,46.9
Cc1ccc(=O)[nH]c1,Cc1ccc(I)cc1,Cc1ccc(-n2cc(C)ccc2=O)cc1,89.0
Cc1ccc(=O)[nH]c1,Ic1cccc2ccccc12,Cc1ccc(=O)n(-c2cccc3ccccc23)c1,68.0
O=C1C=CC(=O)c2c1cccc2[N+](=O)[O-],O=C1C=CC(=O)c2cc([N+](=O)[O-])ccc21,Nc1cccc2c1C(=O)c1ccccc1C2=O,94.2
C1CNCCN1,COc1cccc2c(N3CCSCC3)nc(Cl)cc12,COc1cccc2c(N3CCSCC3)nc(N3CCNCC3)cc12,41.0
CCOC(=O)Cl,N#CC(=NO)C(N)=O,CCOC(=O)ON=C(C#N)C(N)=O,87.9
C1CC2CC3CCC2C(C1)C3,O=S(=O)(O)C(F)(F)F,CC12CC3CC(CC(C3)C1)C2,90.5
COC(Cl)Cl,COc1cccc2c1CCN(C)C2,COc1ccc(C=O)c2c1CCN(C)C2,74.5
C=[N+]=[N-],CC(C(=O)O)c1ccc2c(=O)c3ccccc3ccc2c1,COC(=O)C(C)c1ccc2c(=O)c3ccccc3ccc2c1,100.0
CCCBr,Oc1c(-c2ccccc2)n[nH]c1-c1ccccc1,CCCOc1c(-c2ccccc2)n[nH]c1-c1ccccc1,99.7
CCC(C)N,CCCC(C)Br,CCCC(C)NC(C)CC,55.3
O=C1OCCO1,O=c1[nH]c(=O)n(-c2cccc([N+](=O)[O-])c2)c2ncccc12,O=c1c2cccnc2n(-c2cccc([N+](=O)[O-])c2)c(=O)n1CCO,86.6
NCCCC1CCC2=C1CC=CC2,O=C(OC(=O)C(F)(F)F)C(F)(F)F,O=C(NCCCC1CCC2=C1CC=CC2)C(F)(F)F,100.0
COC(OC)C1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)Cc3cccs3)[C@H]2SC1,CON,CON=CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)Cc3cccs3)[C@H]2SC1,83.8
CCOC(=O)N1CCc2nc3ccccc3c(OC)c2CC1,OO,CCOC(=O)N1CCc2c(OC)c3ccccc3[n+]([O-])c2CC1,15.0
CCOC(=O)C(C#N)=NO,COc1ccccc1C(=N)N,COc1ccccc1-c1nc(N)c(N=O)c(=O)[nH]1,67.4
COc1ccccc1C#N,NO,COc1ccccc1C(N)=NO,30.9
C=CCC=CCP(=O)(OCC)OCC,CC=CCP(=O)(OCC)OCC,C=CCC=CC(C)P(=O)(OCC)OCC,93.0
CCON=C(N)c1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c1N,S=C=S,Nc1[nH]c(=S)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,65.0
C[C@@]1(Cl)CS[C@@H]2[C@H](NC(=O)COc3ccccc3)C(=O)N2[C@H]1C(=O)O,O=[N+]([O-])c1ccc(CBr)cc1,C[C@@]1(Cl)CS[C@@H]2[C@H](NC(=O)COc3ccccc3)C(=O)N2[C@H]1C(=O)OCc1ccc([N+](=O)[O-])cc1,94.3
CCCCCCCCCCCCCCCCCC(=O)OC(=O)CCCCCCCCCCCCCCCCC,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)c(=O)n1,CCCCCCCCCCCCCCCCCC(=O)Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)c(=O)n1,90.3
CCCCO,CCCCP(CCCC)CCCC,CCCCC(CC)CO,2.3
CC(=O)Cl,Cn1c([N+](=O)[O-])cnc1C1=CNN(N)O1,CC(=O)NN1NC=C(c2ncc([N+](=O)[O-])n2C)O1,56.0
CC1CN(Cc2ccccc2)Cc2c(C=O)c(-c3ccccc3)n(Cc3ccccc3)c21,NO,CC1CN(Cc2ccccc2)Cc2c(C=NO)c(-c3ccccc3)n(Cc3ccccc3)c21,86.9
COC(=O)C1=C(O)c2ccc3ccccc3c2S(=O)(=O)N1C,Nc1cc(Cl)ncn1,CN1C(C(=O)Nc2cc(Cl)ncn2)=C(O)c2ccc3ccccc3c2S1(=O)=O,47.0
C=O,Cc1ccc2[nH]nc(-c3ccccc3)c2c1,Cc1ccc2c(c1)c(-c1ccccc1)nn2CO,83.6
COC(=O)c1ccc(C(F)(F)F)cc1C(F)(F)F,NCc1ccccn1,O=C(NCc1ccccn1)c1ccc(C(F)(F)F)cc1C(F)(F)F,64.0
CC(=O)C(C)Cl,CC(S)C(C)S,CC1=C(C)SC(C)C(C)S1,60.0
C=CC=COC(C)=O,O=C1C=CC(=O)c2ccccc21,O=C1c2ccccc2C(=O)c2ccccc21,91.0
C=CC=COC(C)=O,O=C1C=CC(=O)c2ccccc21,O=C1c2ccccc2C(=O)c2ccccc21,90.0
CSC(=N)NS(=O)(=O)c1ccccc1,Cc1nc[nH]c1CSCCN,Cc1nc[nH]c1CSCCNC(=N)NS(=O)(=O)c1ccccc1,20.4
CC[C@]12CC[C@@H]3C4=C(CC(OC)=CC4)C(C)C[C@H]3[C@@H]1CCC2=O,NCCN,C#C[C@]1(O)CC[C@H]2[C@@H]3CC(C)C4=C(CC=C(OC)C4)[C@H]3CC[C@@]21CC,89.8
CN(C)CCCN,O=CO,CN(C)CCCNC=O,59.0
CCOC(=O)CC(Br)C=O,OCCS,CCOC(=O)CC1=COCCS1,18.3
Cc1cnc2c(c1)CCCC2C(N)=O,S=P12SP3(=S)SP(=S)(S1)SP(=S)(S2)S3,Cc1cnc2c(c1)CCCC2C(N)=S,87.0
O=C(Cl)OCc1ccccc1,On1nnc2ccccc21,O=C(OCc1ccccc1)On1nnc2ccccc21,90.2
C=CCCCCCC,CC(=O)OC(C)=O,CCCCCCCCCC(=O)O,75.0
CN1CCN(C(=O)Cl)CC1,O=C1c2ccccc2C(O)N1c1ccc2cnccc2n1,CN1CCN(C(=O)OC2c3ccccc3C(=O)N2c2ccc3cnccc3n2)CC1,80.6
CC(C)C(C)(N)C#N,O=C1OC(=O)c2ccccc21,CC(C)C(C)(C#N)NC(=O)c1ccccc1C(=O)O,90.0
O=C(Cl)c1ccc(Cl)c([N+](=O)[O-])c1,OC1CCCCC1,O=C(OC1CCCCC1)c1ccc(Cl)c([N+](=O)[O-])c1,88.0
CC(C)(C)N1CC(O)C1,COc1ccc(O)c(C)c1C,COc1ccc(OCC(O)CNC(C)(C)C)c(C)c1C,72.5
CC(O)C(C)OC1CCNCC1,FC(F)(F)c1ccc2c(c1)N(CCCCl)c1ccccc1S2,CC(O)C(C)OC1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,48.0
C1=COCCC1,CCCCCC(O)CC#N,CCCCCC(CC#N)OC1CCCCO1,95.3
Nc1c(Cl)cc(Cl)cc1[N+](=O)[O-],O=C1C=Cc2c(ccc3ccccc23)C1=O,Clc1cc(Cl)c2nc3c4ccccc4c4ccccc4c3nc2c1,81.0
CC(=O)Cl,CC(=O)OCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)C(=NO)c3ccccc3)[C@H]2SC1,CC(=O)OCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)C(=NOC(C)=O)c3ccccc3)[C@H]2SC1,62.0
CS(N)(=O)=O,O=C(Cl)CCCCBr,CS(=O)(=O)NC(=O)CCCCBr,86.0
CCOC(=O)c1ccc(O)cc1,Clc1nccs1,CCOC(=O)c1ccc(Oc2nccs2)cc1,30.0
Cc1cc([N+](=O)[O-])c(Cl)c([N+](=O)[O-])c1S(=O)(=O)[O-],ClP(Cl)(Cl)(Cl)Cl,Cc1cc([N+](=O)[O-])c(Cl)c([N+](=O)[O-])c1S(=O)(=O)Cl,88.5
COc1ccc(CC(=O)O)cc1O,O=C(O)Cc1ccccc1,COc1ccc(CC(=O)O)c(CO)c1O,83.0
C#CCCC1(C)OCCO1,ClCCCI,CC1(CCC#CCCCCl)OCCO1,89.5
CC(C)c1cc2ccccn2n1,CCC(=O)OC(=O)CC,CCC(=O)c1c(C(C)C)nn2ccccc12,39.0
CC(C)=CCCO,CC1(CCCBr)OCCO1,CC(C)=CCCOCCCC1(C)OCCO1,31.3
CS(=O)CCl,Sc1ccccc1,CS(=O)CSc1ccccc1,87.6
CN1CCNCC1,O=[N+]([O-])c1cccc(S(=O)(=O)OC2=Nc3ccccc3S(=O)(=O)N2)c1,CN1CCN(C2=Nc3ccccc3S(=O)(=O)N2)CC1,27.3
O=Cc1ccccc1,OCc1ccc(O)c(CO)n1,OCc1ccc2c(n1)COC(c1ccccc1)O2,77.0
CCCBr,COc1ccc(O)c(C(N)=O)c1,CCCOc1ccc(OC)cc1C(N)=O,41.4
CC(C)c1nsc(N=C(Cl)N(C)C)c1C#N,[C-]#N,CC(C)c1nsc(N=C(C#N)N(C)C)c1C#N,63.8
CCN1CCNCC1,CCOC(=O)c1cn(CC)c2nc(Cl)ncc2c1=O,CCOC(=O)c1cn(CC)c2nc(N3CCN(CC)CC3)ncc2c1=O,93.0
CCCCCCCCCCCCCCCCCCNCCCCCCCCCCCCCCCCCC,CCOC(=O)CCCBr,CCCCCCCCCCCCCCCCCCN(CCCCCCCCCCCCCCCCCC)CCCC(=O)OCC,58.2
CCCCCCOc1ccc(C=O)cc1OCCCCCC,N,CCCCCCOc1ccc(CN)cc1OCCCCCC,52.1
CC(=O)OCC1=C(C(=O)O)N2C(=O)C(NC(=O)Cc3csc(=O)s3)C2SC1,CCC1N=NC(=S)S1,CCc1nnc(SCC2=C(C(=O)O)N3C(=O)C(NC(=O)Cc4csc(=O)s4)C3SC2)s1,23.8
CC(=O)OCC1=C(C(=O)O)N2C(=O)C(NC(=O)Cc3csc(=O)s3)C2SC1,S=C1N=NCN1,O=C(Cc1csc(=O)s1)NC1C(=O)N2C(C(=O)O)=C(CSc3nc[nH]n3)CSC12,20.5
Cc1ccc2c(c1)[nH]c(=O)n2CCCOS(C)(=O)=O,O=C(c1ccc(F)cc1)C1CCNCC1,Cc1ccc2c(c1)[nH]c(=O)n2CCCN1CCC(C(=O)c2ccc(F)cc2)CC1,6.5
O=C(c1ccc(F)cc1)C1CCNCC1,O=c1[nH]c2cc(C(F)(F)F)ccc2n1CCCCl,O=C(c1ccc(F)cc1)C1CCN(CCCn2c(=O)[nH]c3cc(C(F)(F)F)ccc32)CC1,20.0
C=C1CC(=O)O1,CCCCC(=O)Nc1cccc(N)c1,CCCCC(=O)Nc1cccc(NC(=O)CC(C)=O)c1,24.6
CC[C@H](C)[C@H](NC(=O)OCc1ccccc1)C(=O)O,NCC(=O)Nc1ccccc1C(=O)c1cc(Br)ccn1,CC[C@H](C)[C@H](NC(=O)OCc1ccccc1)C(=O)NCC(=O)Nc1ccccc1C(=O)c1cc(Br)ccn1,60.0
CCO,O=C(OCc1ccccc1)C1=CNC=CC1,C/C(N)=C/C(=O)OCc1ccccc1,75.0
CN1C(=O)CN(C(=O)Cl)C(c2ccccc2)c2cc(Cl)ccc21,N,CN1C(=O)CN(C(N)=O)C(c2ccccc2)c2cc(Cl)ccc21,72.0
CC(=N)N,O=S(=O)(Cl)C=Cc1ccccc1,CC(=N)NS(=O)(=O)C=Cc1ccccc1,76.0
COc1ccc(C(=O)NS(=O)(=O)C=Cc2ccc(Cl)c(Cl)c2)cc1OC,ClP(Cl)(Cl)(Cl)Cl,COc1ccc(C(Cl)=NS(=O)(=O)C=Cc2ccc(Cl)c(Cl)c2)cc1OC,100.0
CC(=O)Nc1ccc(O)c(C(=O)CCC(=O)O)c1,CO,COC(=O)CCC(=O)c1cc(NC(C)=O)ccc1O,59.0
CC(=O)C(C)O,CCOC(=O)CC(C)=O,Cc1oc(C)c(C(=O)O)c1C,96.0
C=CCBr,CCOC(=O)CNC,C=CCN(C)CC(=O)OCC,88.5
CCOC(=O)CNCC=CCl,O=C(Cl)CCCCl,CCOC(=O)CN(CC=CCl)C(=O)CCCCl,83.8
CC(C)(C)OC(=O)CCl,CCCCN,CCCCNCC(=O)OC(C)(C)C,90.9
Nc1ccccc1,O=C(CCl)c1ccc(-c2ccccc2)cc1,c1ccc(-c2ccc(-c3cc4ccccc4[nH]3)cc2)cc1,25.0
CC(=O)OC(C)=O,CC1OC(O)C=CC1=O,CC(=O)OC1C=CC(=O)C(C)O1,80.0
CC(C)=CC=O,CCOC(=O)C(NC(=O)OCc1ccccc1)C(=O)OCC,CCOC(=O)C1(C(=O)OCC)NCCC1(C)C,37.0
NC1CCN(CCc2c[nH]c3ccccc23)CC1,O=C=Nc1ccc(Cl)c(Cl)c1,O=C(Nc1ccc(Cl)c(Cl)c1)NC1CCN(CCc2c[nH]c3ccccc23)CC1,78.6
Cc1cc(Cl)ccc1OCC=O,O=C(O)CO,Cc1cc(Cl)ccc1OCC1OCC(=O)O1,62.6
CN(C)C(=O)Cl,Cc1cc(N)no1,Cc1cc(NC(=O)N(C)C)no1,56.0
CC(=O)Nc1cccc2c1Cc1ccccc1C2=O,O=[Si]([O-])[O-],CC(=O)Nc1cccc2c1C(=O)c1ccccc1C2=O,94.3
BrC=CCc1ccccc1,O=C(OO)c1cccc(Cl)c1,BrC=CCC1=CC2OC2C=C1,87.1
CCc1ccccc1C(=O)O,CO,CCc1ccccc1C(=O)OC,86.0
C=CCN1C(=O)CCc2c(O)cccc21,OCC(O)CCl,C=CCN1C(=O)CCc2c(OCC(O)CO)cccc21,44.0
CC(C)OC(=O)Cl,NNc1n[nH]c2cc(Cl)ccc12,CC(C)OC(=O)NNc1n[nH]c2cc(Cl)ccc12,68.0
CCOC(=O)C(Cc1ccc(C#N)cc1)(NC(C)=O)C(=O)OCC,S,CCOC(=O)C(Cc1ccc(C(N)=S)cc1)(NC(C)=O)C(=O)OCC,80.0
BrCc1ccccc1,CNc1nnc(S)s1,CNc1nnc(SCc2ccccc2)s1,59.5
CCOC(=O)CBr,COCCN,CCOC(=O)CNCCOC,75.3
Nc1ccc(Cl)cc1NCCCN1CCC(n2c(=O)[nH]c3ccccc32)CC1,O=CO,O=c1[nH]c2ccccc2n1C1CCN(CCCn2cnc3ccc(Cl)cc32)CC1,27.0
Cc1cccc(N)c1,OC1CCCCC1,Cc1cccc(NC2CCCCC2)c1,60.0
CCCCCCC1CO1,N,CCCCCCC(O)CN,77.1
CCC1Cc2cc(OCC(=O)OC)c(Cl)c(Cl)c2C1=O,[Cl-],CCC1(Cl)Cc2cc(OCC(=O)OC)c(Cl)c(Cl)c2C1=O,53.0
CC[N+](CC)=C(Cl)Cl,N#CCC#N,CCN(CC)C(Cl)=C(C#N)C#N,33.7
CCC1(C)CC(O)C(C)C(C)(CC)N1,CN=C=O,CCC1(C)CC(OC(=O)NC)C(C)C(C)(CC)N1,97.2
CO,COc1ccccc1N=[N+]([O-])c1ccccc1OC,COc1ccccc1N(Nc1ccccc1)OC,72.0
COc1ccc(C(=O)Cl)cc1,c1ccc(-c2csc3ccccc23)cc1,COc1ccc(C(=O)c2sc3ccccc3c2-c2ccccc2)cc1,70.0
COc1ccc2c(-c3ccccc3)csc2c1,O=C(Cl)c1ccccc1,COc1ccc2c(-c3ccccc3)c(C(=O)c3ccccc3)sc2c1,52.0
Cc1cc2ccccc2n1C,O=C1OC(=O)C(Cl)=C1Cl,Cc1c(C(=O)C(Cl)=C(Cl)C(=O)O)c2ccccc2n1C,91.5
CCC(=S)NC1C(=O)N2C(C(=O)O)=C(CSc3nnc(CN)s3)CS[C@H]12,CN=C=O,CCC(=S)NC1C(=O)N2C(C(=O)O)=C(CSc3nnc(CNC(=O)NC)s3)CS[C@H]12,96.2
COc1ccccc1CCl,OC1COC(c2ccccc2)OC1,COc1ccccc1COC1COC(c2ccccc2)OC1,77.9
CS(=O)(=O)Cl,CS[C@]12SCC(O)(COC(C)=O)C(C(=O)OCc3ccc([N+](=O)[O-])cc3)N1C(=O)C2N=[N+]=[N-],CS[C@]12SCC(COC(C)=O)(OS(C)(=O)=O)C(C(=O)OCc3ccc([N+](=O)[O-])cc3)N1C(=O)C2N=[N+]=[N-],68.3
CO,O=C(COc1ccccc1)NC1C(=O)N(C(C(=O)OCc2ccc([N+](=O)[O-])cc2)=C(CBr)N2CCOCC2)C1SC(=O)OCC1CC1,O=C(COc1ccccc1)NC1C(=O)N(C(C(=O)OCc2ccc([N+](=O)[O-])cc2)=C(O)CBr)C1SC(=O)OCC1CC1,92.8
CO,O=C(COc1ccccc1)NC1C(=O)N(C(C(=O)OCc2ccc([N+](=O)[O-])cc2)=C(CBr)N2CCOCC2)C1SC(=O)OCC1CC1,O=C(COc1ccccc1)NC1C(=O)N2C(C(=O)OCc3ccc([N+](=O)[O-])cc3)=C(O)CS[C@H]12,63.0
COc1ccc(O)cc1,FC(F)(F)c1cccc(Cl)n1,COc1ccc(Oc2cccc(C(F)(F)F)n2)cc1,94.3
CI,Cc1ccc2c(c1)CNC(=O)CC2,Cc1ccc2c(c1)CN(C)C(=O)CC2,55.0
CC(O)c1ccco1,O,Cc1occc(=O)c1O,55.0
CC1OC(O)C=C(Br)C1=O,O=P(O)(O)O,Cc1occc(=O)c1O,34.0
CCOC(=O)c1cnc(-c2ccccc2OC(C)CC)[nH]c1=O,N,CCC(C)Oc1ccccc1-c1ncc(C(N)=O)c(=O)[nH]1,87.7
C=CCOc1ccccc1-c1ncc(C#N)c(=O)[nH]1,[N-]=[N+]=[N-],C=CCOc1ccccc1-c1ncc(-c2nnn[nH]2)c(=O)[nH]1,37.0
CC(C)C(=O)Cl,COC(=O)c1cc(C)sc1N,COC(=O)c1cc(C)sc1NC(=O)C(C)C,88.0
Cc1cccc(C(=O)O)c1N,NC(N)=O,Cc1cccc2c(=O)[nH]c(=O)[nH]c12,75.0
